account_id,wins,losses,total
1061967760,167,134,301
380663148,541,456,997
167742724,2638,2679,5317
164881922,1932,1642,3574
290971350,1130,1135,2265
1221385501,137,171,308
157035951,6861,6851,13712
345161148,1699,1597,3296
186325061,92,110,202
136498061,1945,1952,3897
327210152,1147,1129,2276
101226356,2499,2302,4801
198998465,1086,1054,2140
167517249,2611,2731,5342
129683087,4814,4761,9575
144030630,1581,1648,3229
137756036,2006,2015,4021
348586163,76,85,161
120543887,225,244,469
1022379042,208,194,402
362637453,1717,1628,3345
352551520,2863,2651,5514
213302923,1338,1388,2726
910515065,491,522,1013
195614200,284,301,585
488860225,73,83,156
308727500,3128,2851,5979
718261530,0,0,0
184421597,63,40,103
405079318,196,150,346
129557668,3027,3027,6054
365449874,220,245,465
449229440,402,398,800
443857971,2100,2049,4149
167846563,320,330,650
127117527,1574,1307,2881
441019087,1533,1304,2837
349754378,666,769,1435
157942237,951,975,1926
1094305887,456,436,892
137410368,640,601,1241
383430869,34,13,47
161408457,908,735,1643
128161292,2561,2464,5025
130106718,5214,5133,10347
219100054,1586,1472,3058
142004798,2929,2534,5463
140312673,4121,4135,8256
134995830,301,246,547
162163576,8881,8851,17732
218798341,417,414,831
248981739,1856,1447,3303
197242746,19,23,42
110839273,997,775,1772
504070900,0,0,0
1142093437,1302,1166,2468
948966830,0,0,0
1096027252,227,241,468
151769622,1668,1646,3314
836387725,2040,1921,3961
138850680,404,381,785
143870857,1341,1370,2711
260237708,1297,1213,2510
292843967,2002,1834,3836
457314364,1849,1804,3653
171437219,1733,1632,3365
193915775,1062,1022,2084
371462799,652,658,1310
469320562,402,390,792
295723066,1056,968,2024
260049205,604,566,1170
234897379,463,411,874
464949116,215,176,391
1051632941,500,473,973
1004635433,822,771,1593
934115400,0,0,0
268268652,1538,1380,2918
1009091770,953,764,1717
375815862,520,471,991
853915393,115,122,237
485176128,13,14,27
142044039,461,549,1010
141370647,2940,2990,5930
131474321,641,612,1253
282761654,447,472,919
1061231335,1772,1550,3322
1184793138,533,512,1045
370781551,1094,1131,2225
254044228,203,196,399
125800387,627,606,1233
149239914,1125,1126,2251
1246576454,396,379,775
177479596,771,704,1475
611388808,757,564,1321
132131304,384,311,695
136010529,791,757,1548
129879232,2479,2213,4692
217868038,916,643,1559
126568213,943,875,1818
176303716,1725,1740,3465
190210711,4015,4111,8126
153029601,2777,2838,5615
136523395,2233,2274,4507
204038331,2326,2316,4642
295322165,177,170,347
206806703,274,217,491
303014025,1113,1065,2178
925995422,483,456,939
1339929555,200,167,367
423653543,2106,2087,4193
144601145,1418,1429,2847
161126685,4631,4592,9223
145366124,795,788,1583
145212342,1861,1683,3544
143435187,725,753,1478
292772609,5513,5412,10925
138005143,472,430,902
193803719,2405,2351,4756
1278752152,290,251,541
1057642255,313,282,595
404294058,311,254,565
947575630,0,0,0
359292945,456,490,946
410505532,2083,1603,3686
997890166,720,580,1300
1101640444,651,632,1283
373369540,178,237,415
231351807,271,247,518
203100010,823,829,1652
400363271,543,518,1061
187522162,393,366,759
882119149,875,822,1697
334200926,779,623,1402
243653517,3528,3170,6698
179683890,841,791,1632
192268080,1637,1628,3265
175550451,1357,1300,2657
407150397,1829,1778,3607
1048107080,295,244,539
1071034672,214,179,393
109580479,2749,2592,5341
395554141,772,722,1494
166644591,875,835,1710
1112136365,572,472,1044
370773154,72,65,137
121586153,1921,1871,3792
455529920,0,0,0
166125296,655,632,1287
148224682,1809,1844,3653
173369439,106,71,177
337725845,214,212,426
479416229,199,224,423
1102443244,2218,1982,4200
895875225,1581,1424,3005
131246802,4234,3814,8048
379740963,299,408,707
1043002141,157,150,307
194017616,1283,1270,2553
907232276,133,169,302
185646064,905,844,1749
938414780,0,0,0
194821301,3144,3026,6170
149371396,2842,2831,5673
349336484,747,579,1326
171941570,1536,1412,2948
337577380,1207,1060,2267
170453627,2337,1973,4310
120246501,187,200,387
234012830,2915,2838,5753
903118729,83,76,159
1402901524,23,16,39
385941358,483,437,920
1024444828,215,116,331
1021587169,284,243,527
387927320,673,683,1356
371394742,527,590,1117
871541145,578,562,1140
485471050,0,0,0
329508840,162,98,260
149947093,3208,3221,6429
1028667010,129,160,289
403733694,1119,1101,2220
1197916961,275,290,565
145689592,254,339,593
254047336,692,694,1386
1269320543,51,51,102
199970534,4344,4031,8375
104500774,4471,4093,8564
410220395,1049,928,1977
238955847,6140,5772,11912
433370472,460,483,943
182425454,1749,1799,3548
128187888,2003,1918,3921
122597505,980,1057,2037
1078948738,543,521,1064
145606430,5733,5533,11266
169123922,2693,2684,5377
187656327,758,724,1482
248421936,2738,2688,5426
427119193,551,534,1085
1033075999,811,704,1515
454654235,3195,2867,6062
303896610,1535,1206,2741
248709684,1546,1406,2952
390727870,161,207,368
247734473,617,463,1080
268361540,419,355,774
1349902362,44,54,98
153414443,2181,2161,4342
138876447,1363,1307,2670
142022313,1650,1599,3249
109993793,773,822,1595
137108127,574,582,1156
164381917,1147,1072,2219
508828400,0,0,0
155383556,337,337,674
376884895,1902,2054,3956
143826994,2206,2146,4352
1007147379,697,660,1357
138189678,336,237,573
132178882,2036,1955,3991
173487372,601,685,1286
909982775,46,60,106
255802605,258,261,519
227660565,1837,1846,3683
1155100963,434,358,792
202917714,3477,3040,6517
439810752,1304,1201,2505
967878929,103,89,192
101005587,592,540,1132
219392314,606,757,1363
140386828,4324,4140,8464
163514653,917,651,1568
203197673,3488,3465,6953
152881386,2398,2463,4861
389167051,914,910,1824
292686154,1486,1441,2927
140578768,1840,1872,3712
203183536,2244,2334,4578
112624622,1990,2061,4051
130310319,2212,2317,4529
233422854,282,241,523
1256401770,794,766,1560
1103403813,427,445,872
871792389,359,322,681
437601765,1345,849,2194
189380685,3037,2765,5802
913430972,562,213,775
140104489,2423,2343,4766
1121170451,247,229,476
911615836,292,252,544
162942232,1215,1212,2427
767434930,0,0,0
127936029,1829,1785,3614
105584735,1140,1152,2292
135623933,677,696,1373
375350901,1471,1378,2849
367293857,638,640,1278
484559360,422,452,874
110852578,3354,3264,6618
416129898,917,854,1771
425379636,862,847,1709
388747024,328,286,614
480202134,59,60,119
150371819,309,230,539
252315319,2975,2855,5830
180351590,435,374,809
1440303323,80,66,146
372335880,98,96,194
157713163,1445,1428,2873
673643640,0,0,0
213551166,2376,2329,4705
1243923045,289,274,563
318627709,1077,956,2033
119836953,2119,2028,4147
180130240,1079,876,1955
154562823,2546,2209,4755
112734029,1119,1116,2235
190456324,800,850,1650
110635225,1767,1891,3658
137103862,1422,1401,2823
227841954,1361,1282,2643
113213194,2137,2125,4262
121981169,368,316,684
868915544,1352,1342,2694
223431966,1455,1448,2903
136372741,1314,1335,2649
357390758,1848,1731,3579
244885547,1899,1736,3635
231296881,456,512,968
185523735,235,238,473
135269877,4089,3969,8058
897062291,578,437,1015
910284485,1021,895,1916
322596513,1011,882,1893
135191332,2156,2088,4244
1164407267,372,355,727
226337555,1628,1629,3257
909094029,246,277,523
164882500,860,890,1750
240278569,635,594,1229
137768327,1016,1046,2062
246364969,1619,1661,3280
408015007,240,256,496
173517783,3675,3471,7146
340031770,1643,1521,3164
924537752,146,126,272
1258778641,71,47,118
227326506,564,682,1246
1272618483,65,51,116
110730354,1701,1505,3206
139320890,1205,1329,2534
130224646,2036,2209,4245
130031727,1667,1970,3637
414369690,4174,3975,8149
188188466,2772,2518,5290
385796829,1394,1350,2744
279720210,869,1035,1904
1015890911,327,379,706
110718422,4198,4178,8376
327669936,2799,2720,5519
133878452,1898,1796,3694
138468285,4019,3930,7949
1417600885,86,74,160
381579097,773,789,1562
689298790,0,0,0
366229334,737,727,1464
104908816,1078,1038,2116
893788460,596,526,1122
353173485,422,546,968
176752957,1429,1561,2990
292919437,1278,1242,2520
206377464,1995,2107,4102
1021474693,525,494,1019
451579179,2052,2020,4072
849458309,241,237,478
479981690,23,36,59
121521137,2825,2853,5678
1255303941,459,413,872
138814949,1442,1567,3009
967510650,0,0,0
191966236,2304,2134,4438
392216063,1478,1415,2893
959859900,0,0,0
366630427,1237,1173,2410
143291368,1981,1913,3894
124949416,253,228,481
275801852,182,126,308
128200151,29,26,55
139763963,4047,3926,7973
134717662,3896,3856,7752
107181026,2003,1730,3733
403987429,1443,1317,2760
344005958,1120,1106,2226
167496124,4877,4703,9580
997377744,426,398,824
1101807733,666,612,1278
101777133,3631,3335,6966
135412093,2787,2661,5448
136223394,1087,898,1985
114087283,745,690,1435
740507560,0,0,0
204655516,4721,4395,9116
161656980,421,285,706
847152704,744,709,1453
326820252,2319,2204,4523
212097903,2170,2089,4259
120871990,2998,3034,6032
303505038,1232,965,2197
604817210,0,0,0
169998099,1112,1043,2155
239938454,617,586,1203
369855793,625,536,1161
167189279,831,733,1564
159632139,3330,2850,6180
162140125,2622,2221,4843
128101048,2902,2812,5714
155922988,276,351,627
359962185,529,483,1012
426109193,176,165,341
389987871,619,538,1157
138610609,1763,1742,3505
183144579,2862,2796,5658
135087854,3227,2971,6198
711774280,0,0,0
315147723,2616,2490,5106
165627034,128,146,274
242788739,178,139,317
165035230,836,783,1619
113897728,2136,2191,4327
218432174,2770,2863,5633
167293254,4095,4172,8267
141002287,6056,6244,12300
136563420,1346,1300,2646
487673160,1336,1260,2596
152867979,374,346,720
137762356,1450,1542,2992
173992988,1405,1346,2751
841951380,0,0,0
252270945,717,690,1407
124911448,1192,1126,2318
328937982,1495,1384,2879
368971216,1021,924,1945
113495802,5220,5116,10336
364597550,3783,3705,7488
406464797,4604,4352,8956
165106483,2035,1833,3868
206644773,701,646,1347
285605068,3081,3035,6116
249651676,310,304,614
168483008,2307,2334,4641
240148345,1462,1311,2773
180825488,2442,2311,4753
1225143079,191,151,342
438500497,527,619,1146
208962832,916,890,1806
198539468,94,82,176
866670643,107,116,223
260385113,1849,1822,3671
317388321,547,524,1071
230836846,330,374,704
139063655,1884,1884,3768
131125356,2565,2657,5222
1031464695,0,0,0
166459048,0,0,0
192200895,0,0,0
312582076,0,0,0
227520317,0,0,0
253208908,0,0,0
955209300,0,0,0
135014854,0,0,0
129935224,0,0,0
168541370,0,0,0
137826227,0,0,0
141926570,0,0,0
147575329,0,0,0
1180740935,0,0,0
371196800,0,0,0
233614831,0,0,0
228832333,0,0,0
147946326,0,0,0
141429565,0,0,0
183595464,0,0,0
326125669,0,0,0
361360792,0,0,0
1009091915,0,0,0
906809895,0,0,0
338578593,0,0,0
1106691807,0,0,0
879850047,0,0,0
254951970,0,0,0
848616111,0,0,0
457950403,0,0,0
483236390,0,0,0
382432270,0,0,0
344015454,0,0,0
1231358140,0,0,0
1217623797,0,0,0
185935382,0,0,0
194855185,0,0,0
136145112,0,0,0
903641167,0,0,0
143577334,0,0,0
191652246,0,0,0
165061823,0,0,0
401087564,0,0,0
158685963,0,0,0
209245726,0,0,0
267410084,0,0,0
271678272,0,0,0
161718136,0,0,0
1193381001,0,0,0
122054373,0,0,0
367708284,0,0,0
451383711,0,0,0
102901253,0,0,0
204596371,0,0,0
416806418,0,0,0
137764089,0,0,0
980210823,0,0,0
968261384,0,0,0
213296007,0,0,0
197946416,0,0,0
215887385,0,0,0
1122724215,0,0,0
334214188,0,0,0
207406884,0,0,0
866760780,0,0,0
342503507,0,0,0
226810397,0,0,0
353797521,0,0,0
240978989,0,0,0
884635974,0,0,0
882898280,0,0,0
285817822,0,0,0
283387410,0,0,0
201082630,0,0,0
183962036,0,0,0
988787790,0,0,0
192266679,0,0,0
account_id,wins,losses,total
1061967760,168,134,302
380663148,541,456,997
167742724,2643,2682,5325
164881922,1932,1642,3574
290971350,1130,1135,2265
1221385501,137,171,308
157035951,6864,6855,13719
345161148,1700,1598,3298
186325061,97,115,212
136498061,1947,1952,3899
327210152,1147,1129,2276
101226356,2499,2302,4801
198998465,1086,1054,2140
167517249,2611,2731,5342
129683087,4814,4761,9575
144030630,1581,1648,3229
137756036,2006,2015,4021
348586163,76,85,161
120543887,225,244,469
1022379042,210,196,406
362637453,1717,1631,3348
352551520,2864,2651,5515
213302923,1340,1392,2732
910515065,491,524,1015
195614200,284,301,585
488860225,74,84,158
308727500,3128,2851,5979
718261530,0,0,0
184421597,63,40,103
405079318,196,151,347
129557668,3027,3027,6054
365449874,221,247,468
449229440,403,400,803
443857971,2100,2049,4149
167846563,320,330,650
127117527,1575,1309,2884
441019087,1535,1308,2843
349754378,668,772,1440
157942237,954,975,1929
1094305887,458,437,895
137410368,643,601,1244
383430869,37,14,51
161408457,908,735,1643
128161292,2561,2464,5025
130106718,5214,5133,10347
219100054,1592,1475,3067
142004798,2929,2535,5464
140312673,4121,4135,8256
134995830,301,247,548
162163576,8881,8852,17733
218798341,417,414,831
248981739,1856,1447,3303
197242746,21,23,44
110839273,998,776,1774
504070900,0,0,0
1142093437,1302,1166,2468
948966830,0,0,0
1096027252,227,241,468
151769622,1668,1646,3314
836387725,2041,1922,3963
138850680,404,381,785
143870857,1341,1370,2711
260237708,1297,1213,2510
292843967,2004,1836,3840
457314364,1849,1804,3653
171437219,1733,1632,3365
193915775,1063,1022,2085
371462799,652,658,1310
469320562,402,391,793
295723066,1062,968,2030
260049205,604,566,1170
234897379,469,411,880
464949116,217,176,393
1051632941,502,473,975
1004635433,823,771,1594
934115400,0,0,0
268268652,1538,1380,2918
1009091770,953,764,1717
375815862,520,471,991
853915393,115,122,237
485176128,13,14,27
142044039,461,549,1010
141370647,2940,2990,5930
131474321,641,612,1253
282761654,449,472,921
1061231335,1774,1553,3327
1184793138,535,512,1047
370781551,1095,1132,2227
254044228,207,199,406
125800387,627,606,1233
149239914,1125,1126,2251
1246576454,396,379,775
177479596,772,704,1476
611388808,757,564,1321
132131304,385,312,697
136010529,791,759,1550
129879232,2479,2213,4692
217868038,916,643,1559
126568213,944,875,1819
176303716,1725,1740,3465
190210711,4015,4112,8127
153029601,2777,2838,5615
136523395,2233,2274,4507
204038331,2326,2316,4642
295322165,177,170,347
206806703,274,217,491
303014025,1113,1065,2178
925995422,485,457,942
1339929555,200,167,367
423653543,2106,2087,4193
144601145,1418,1429,2847
161126685,4631,4597,9228
145366124,795,788,1583
145212342,1861,1683,3544
143435187,725,753,1478
292772609,5513,5414,10927
138005143,473,431,904
193803719,2406,2352,4758
1278752152,292,252,544
1057642255,316,282,598
404294058,314,254,568
947575630,0,0,0
359292945,456,490,946
410505532,2083,1605,3688
997890166,721,581,1302
1101640444,653,632,1285
373369540,178,237,415
231351807,271,247,518
203100010,823,829,1652
400363271,543,518,1061
187522162,393,366,759
882119149,875,822,1697
334200926,779,623,1402
243653517,3528,3171,6699
179683890,841,791,1632
192268080,1638,1630,3268
175550451,1358,1301,2659
407150397,1831,1778,3609
1048107080,295,244,539
1071034672,216,179,395
109580479,2749,2593,5342
395554141,772,725,1497
166644591,875,835,1710
1112136365,572,472,1044
370773154,72,66,138
121586153,1921,1872,3793
455529920,0,0,0
166125296,655,633,1288
148224682,1809,1844,3653
173369439,106,71,177
337725845,214,212,426
479416229,199,224,423
1102443244,2218,1983,4201
895875225,1583,1424,3007
131246802,4234,3814,8048
379740963,299,408,707
1043002141,157,151,308
194017616,1283,1271,2554
907232276,135,170,305
185646064,910,846,1756
938414780,0,0,0
194821301,3144,3026,6170
149371396,2842,2831,5673
349336484,747,579,1326
171941570,1537,1412,2949
337577380,1207,1060,2267
170453627,2337,1973,4310
120246501,187,200,387
234012830,2915,2840,5755
903118729,83,76,159
1402901524,23,16,39
385941358,483,437,920
1024444828,215,116,331
1021587169,284,243,527
387927320,673,683,1356
371394742,527,591,1118
871541145,578,562,1140
485471050,0,0,0
329508840,162,98,260
149947093,3208,3221,6429
1028667010,129,160,289
403733694,1119,1101,2220
1197916961,275,290,565
145689592,254,339,593
254047336,0,0,0
1269320543,0,0,0
199970534,0,0,0
104500774,0,0,0
410220395,0,0,0
238955847,0,0,0
433370472,0,0,0
182425454,1749,1801,3550
128187888,2003,1921,3924
122597505,981,1059,2040
1078948738,543,521,1064
145606430,5734,5534,11268
169123922,2693,2684,5377
187656327,758,724,1482
248421936,2741,2690,5431
427119193,554,534,1088
1033075999,815,704,1519
454654235,3198,2867,6065
303896610,1535,1207,2742
248709684,1546,1406,2952
390727870,161,207,368
247734473,617,463,1080
268361540,419,355,774
1349902362,44,54,98
153414443,2181,2161,4342
138876447,1363,1307,2670
142022313,1650,1599,3249
109993793,773,822,1595
137108127,574,582,1156
164381917,1148,1074,2222
508828400,0,0,0
155383556,337,337,674
376884895,1902,2054,3956
143826994,2206,2146,4352
1007147379,697,660,1357
138189678,336,237,573
132178882,2036,1955,3991
173487372,601,685,1286
909982775,46,60,106
255802605,258,261,519
227660565,1838,1846,3684
1155100963,434,358,792
202917714,3477,3040,6517
439810752,1304,1201,2505
967878929,103,89,192
101005587,592,540,1132
219392314,606,757,1363
140386828,4326,4141,8467
163514653,917,651,1568
203197673,3488,3465,6953
152881386,2398,2463,4861
389167051,914,911,1825
292686154,1486,1441,2927
140578768,1840,1872,3712
203183536,2244,2334,4578
112624622,1990,2061,4051
130310319,2212,2317,4529
233422854,282,241,523
1256401770,794,766,1560
1103403813,427,445,872
871792389,360,323,683
437601765,1345,849,2194
189380685,3037,2765,5802
913430972,562,213,775
140104489,2424,2343,4767
1121170451,247,229,476
911615836,292,252,544
162942232,1216,1213,2429
767434930,0,0,0
127936029,1829,1785,3614
105584735,1141,1153,2294
135623933,677,696,1373
375350901,1473,1378,2851
367293857,640,640,1280
484559360,422,452,874
110852578,3354,3264,6618
416129898,917,855,1772
425379636,863,848,1711
388747024,328,286,614
480202134,60,60,120
150371819,309,230,539
252315319,2975,2856,5831
180351590,436,375,811
1440303323,80,66,146
372335880,99,96,195
157713163,1445,1428,2873
673643640,0,0,0
213551166,2376,2329,4705
1243923045,289,275,564
318627709,1077,956,2033
119836953,2119,2028,4147
180130240,1081,876,1957
154562823,2547,2209,4756
112734029,1119,1117,2236
190456324,800,850,1650
110635225,1767,1891,3658
137103862,1422,1401,2823
227841954,1361,1282,2643
113213194,2138,2125,4263
121981169,368,316,684
868915544,1352,1342,2694
223431966,1455,1448,2903
136372741,1314,1335,2649
357390758,1848,1731,3579
244885547,1899,1737,3636
231296881,457,512,969
185523735,235,238,473
135269877,4089,3969,8058
897062291,578,437,1015
910284485,1022,895,1917
322596513,1011,882,1893
135191332,2156,2088,4244
1164407267,372,355,727
226337555,1628,1629,3257
909094029,246,277,523
164882500,860,890,1750
240278569,635,595,1230
137768327,1018,1046,2064
246364969,1619,1661,3280
408015007,242,259,501
173517783,3676,3473,7149
340031770,1643,1521,3164
924537752,146,126,272
1258778641,71,47,118
227326506,564,683,1247
1272618483,0,0,0
110730354,0,0,0
139320890,0,0,0
130224646,0,0,0
130031727,0,0,0
414369690,0,0,0
188188466,0,0,0
385796829,0,0,0
279720210,0,0,0
1015890911,0,0,0
110718422,0,0,0
327669936,0,0,0
133878452,0,0,0
138468285,0,0,0
1417600885,0,0,0
381579097,0,0,0
689298790,0,0,0
366229334,737,727,1464
104908816,1078,1038,2116
893788460,596,526,1122
353173485,422,546,968
176752957,1429,1561,2990
292919437,1280,1244,2524
206377464,1996,2108,4104
1021474693,525,494,1019
451579179,2052,2020,4072
849458309,241,237,478
479981690,23,36,59
121521137,2825,2853,5678
1255303941,461,415,876
138814949,1442,1567,3009
967510650,0,0,0
191966236,2304,2134,4438
392216063,1478,1415,2893
959859900,0,0,0
366630427,1238,1173,2411
143291368,1983,1913,3896
124949416,254,229,483
275801852,183,127,310
128200151,39,44,83
139763963,4048,3928,7976
134717662,3898,3857,7755
107181026,2003,1730,3733
403987429,1443,1317,2760
344005958,1120,1106,2226
167496124,4877,4704,9581
997377744,426,398,824
1101807733,666,613,1279
101777133,3632,3335,6967
135412093,2788,2661,5449
136223394,1087,898,1985
114087283,745,690,1435
740507560,0,0,0
204655516,4721,4397,9118
161656980,421,285,706
847152704,745,709,1454
326820252,2320,2205,4525
212097903,2170,2089,4259
120871990,2998,3034,6032
303505038,1233,967,2200
604817210,0,0,0
169998099,1114,1044,2158
239938454,617,586,1203
369855793,625,536,1161
167189279,831,733,1564
159632139,3331,2850,6181
162140125,2624,2222,4846
128101048,2903,2812,5715
155922988,276,351,627
359962185,529,483,1012
426109193,176,165,341
389987871,619,538,1157
138610609,1764,1742,3506
183144579,2862,2796,5658
135087854,3227,2972,6199
711774280,0,0,0
315147723,2616,2490,5106
165627034,128,146,274
242788739,178,139,317
165035230,836,783,1619
113897728,2136,2191,4327
218432174,2770,2863,5633
167293254,4096,4175,8271
141002287,6058,6244,12302
136563420,1346,1300,2646
487673160,1337,1260,2597
152867979,374,346,720
137762356,1450,1542,2992
173992988,1405,1347,2752
841951380,0,0,0
252270945,717,690,1407
124911448,1192,1126,2318
328937982,1495,1384,2879
368971216,1022,926,1948
113495802,5220,5116,10336
364597550,3783,3705,7488
406464797,4609,4353,8962
165106483,2035,1833,3868
206644773,702,648,1350
285605068,3081,3035,6116
249651676,310,304,614
168483008,2307,2334,4641
240148345,1462,1311,2773
180825488,2442,2311,4753
1225143079,191,152,343
438500497,527,620,1147
208962832,916,890,1806
198539468,96,85,181
866670643,107,117,224
260385113,1849,1822,3671
317388321,547,526,1073
230836846,331,374,705
139063655,1884,1886,3770
131125356,2566,2657,5223
1031464695,412,453,865
166459048,1429,1605,3034
192200895,920,953,1873
312582076,2491,2542,5033
227520317,1252,1224,2476
253208908,450,388,838
955209300,0,0,0
135014854,2181,2216,4397
129935224,2328,2297,4625
168541370,2936,3036,5972
137826227,2828,2786,5614
141926570,2433,2350,4783
147575329,1466,1633,3099
1180740935,96,108,204
371196800,88,78,166
233614831,1539,1458,2997
228832333,1102,1171,2273
147946326,1028,1127,2155
141429565,279,344,623
183595464,2143,2229,4372
326125669,1120,1094,2214
361360792,1683,1617,3300
1009091915,170,210,380
906809895,818,792,1610
338578593,1114,1088,2202
1106691807,674,618,1292
879850047,425,370,795
254951970,0,0,0
848616111,1485,1295,2780
457950403,1031,976,2007
483236390,0,0,0
382432270,623,542,1165
344015454,212,156,368
1231358140,106,96,202
1217623797,324,290,614
185935382,2315,2371,4686
194855185,1106,1140,2246
136145112,2936,2895,5831
903641167,1436,1302,2738
143577334,700,570,1270
191652246,3312,3002,6314
165061823,2378,2314,4692
401087564,798,901,1699
158685963,2156,2221,4377
209245726,906,818,1724
267410084,1673,1666,3339
271678272,928,935,1863
161718136,2476,2562,5038
1193381001,285,274,559
122054373,2964,3004,5968
367708284,2949,2788,5737
451383711,466,342,808
102901253,3243,3059,6302
204596371,1240,1165,2405
416806418,1619,1556,3175
137764089,5045,5101,10146
980210823,501,515,1016
968261384,566,587,1153
213296007,181,203,384
197946416,4378,4450,8828
215887385,109,92,201
1122724215,384,401,785
334214188,116,112,228
207406884,1149,1146,2295
866760780,0,0,0
342503507,1152,1049,2201
226810397,1362,1338,2700
353797521,2365,2166,4531
240978989,1216,1067,2283
884635974,618,495,1113
882898280,494,392,886
